h,exponent,architecture,num_parameters,dimension_computed,ambient_dimension,is_full_dimension,is_minimal,is_unimodal,expected_dimension,defect
2,2,"[2, 2, 2]",8,6,6,True,True,True,6,0
2,2,"[2, 9, 2]",36,6,6,True,False,True,6,0
2,2,"[2, 5, 2]",20,6,6,True,False,True,6,0
2,2,"[2, 4, 2]",16,6,6,True,False,True,6,0
2,2,"[2, 3, 2]",12,6,6,True,False,True,6,0
3,2,"[2, 3, 3, 2]",21,10,10,True,True,True,10,0
3,2,"[2, 1, 10, 2]",32,3,10,False,False,False,10,7
3,2,"[2, 1, 16, 2]",50,3,10,False,False,False,10,7
3,2,"[2, 20, 1, 2]",62,4,10,False,False,False,10,6
3,2,"[2, 11, 14, 2]",204,10,10,True,False,True,10,0
3,2,"[2, 9, 11, 2]",139,10,10,True,False,True,10,0
3,2,"[2, 2, 9, 2]",40,8,10,False,False,True,10,2
3,2,"[2, 7, 2, 2]",32,8,10,False,False,True,10,2
3,2,"[2, 4, 8, 2]",56,10,10,True,False,True,10,0
3,2,"[2, 13, 4, 2]",86,10,10,True,False,True,10,0
3,2,"[2, 16, 2, 2]",68,8,10,False,False,True,10,2
3,2,"[2, 2, 14, 2]",60,8,10,False,False,True,10,2
3,2,"[2, 3, 13, 2]",71,10,10,True,False,True,10,0
3,2,"[2, 5, 7, 2]",59,10,10,True,False,True,10,0
3,2,"[2, 4, 4, 2]",32,10,10,True,False,True,10,0
3,2,"[2, 2, 15, 2]",64,8,10,False,False,True,10,2
3,2,"[2, 2, 16, 2]",68,8,10,False,False,True,10,2
3,2,"[2, 20, 2, 2]",84,8,10,False,False,True,10,2
3,2,"[2, 2, 20, 2]",84,8,10,False,False,True,10,2
4,2,"[2, 3, 3, 3, 2]",30,18,18,True,True,True,18,0
4,2,"[2, 8, 14, 1, 2]",144,6,18,False,False,False,18,12
4,2,"[2, 10, 7, 9, 2]",171,18,18,True,False,False,18,0
4,2,"[2, 1, 12, 3, 2]",56,3,18,False,False,False,18,15
4,2,"[2, 10, 7, 1, 2]",99,6,18,False,False,False,18,12
4,2,"[2, 1, 9, 10, 2]",121,3,18,False,False,False,18,15
4,2,"[2, 5, 4, 9, 2]",84,18,18,True,False,False,18,0
4,2,"[2, 16, 1, 9, 2]",75,4,18,False,False,False,18,14
4,2,"[2, 11, 10, 1, 2]",144,6,18,False,False,False,18,12
4,2,"[2, 13, 3, 10, 2]",115,18,18,True,False,False,18,0
4,2,"[2, 9, 2, 15, 2]",96,10,18,False,False,False,18,8
4,2,"[2, 4, 2, 16, 2]",80,10,18,False,False,False,18,8
4,2,"[2, 10, 1, 10, 2]",60,4,18,False,False,False,18,14
4,2,"[2, 7, 1, 16, 2]",69,4,18,False,False,False,18,14
4,2,"[2, 9, 3, 6, 2]",75,18,18,True,False,False,18,0
4,2,"[2, 6, 3, 8, 2]",70,18,18,True,False,False,18,0
4,2,"[2, 12, 16, 1, 2]",234,6,18,False,False,False,18,12
4,2,"[2, 13, 1, 12, 2]",75,4,18,False,False,False,18,14
4,2,"[2, 10, 2, 5, 2]",60,10,18,False,False,False,18,8
4,2,"[2, 13, 1, 16, 2]",87,4,18,False,False,False,18,14
4,2,"[2, 10, 2, 13, 2]",92,10,18,False,False,False,18,8
4,2,"[2, 15, 11, 1, 2]",208,6,18,False,False,False,18,12
4,2,"[2, 12, 2, 14, 2]",104,10,18,False,False,False,18,8
4,2,"[2, 15, 2, 11, 2]",104,10,18,False,False,False,18,8
4,2,"[2, 16, 6, 1, 2]",136,6,18,False,False,False,18,12
4,2,"[2, 14, 2, 14, 2]",112,10,18,False,False,False,18,8
4,2,"[2, 15, 1, 15, 2]",90,4,18,False,False,False,18,14
4,2,"[2, 16, 1, 11, 2]",81,4,18,False,False,False,18,14
4,2,"[2, 15, 14, 1, 2]",256,6,18,False,False,False,18,12
4,2,"[2, 16, 16, 1, 2]",306,6,18,False,False,False,18,12
4,2,"[2, 6, 3, 4, 2]",50,18,18,True,False,False,18,0
4,2,"[2, 16, 2, 6, 2]",88,10,18,False,False,False,18,8
4,2,"[2, 11, 2, 16, 2]",108,10,18,False,False,False,18,8
4,2,"[2, 16, 1, 15, 2]",93,4,18,False,False,False,18,14
4,2,"[2, 15, 2, 16, 2]",124,10,18,False,False,False,18,8
4,2,"[2, 16, 2, 9, 2]",100,10,18,False,False,False,18,8
4,2,"[2, 16, 2, 14, 2]",120,10,18,False,False,False,18,8
4,2,"[2, 16, 1, 16, 2]",96,4,18,False,False,False,18,14
4,2,"[2, 16, 2, 16, 2]",128,10,18,False,False,False,18,8
4,2,"[2, 1, 2, 20, 2]",84,3,18,False,False,False,18,15
4,2,"[2, 20, 14, 1, 2]",336,6,18,False,False,False,18,12
4,2,"[2, 1, 14, 17, 2]",288,3,18,False,False,False,18,15
4,2,"[2, 20, 2, 18, 2]",152,10,18,False,False,False,18,8
4,2,"[2, 4, 2, 20, 2]",96,10,18,False,False,False,18,8
4,2,"[2, 1, 17, 8, 2]",171,3,18,False,False,False,18,15
4,2,"[2, 1, 18, 12, 2]",260,3,18,False,False,False,18,15
4,2,"[2, 1, 18, 13, 2]",280,3,18,False,False,False,18,15
4,2,"[2, 20, 2, 19, 2]",156,10,18,False,False,False,18,8
4,2,"[2, 12, 20, 1, 2]",286,6,18,False,False,False,18,12
4,2,"[2, 1, 20, 7, 2]",176,3,18,False,False,False,18,15
4,2,"[2, 15, 2, 20, 2]",140,10,18,False,False,False,18,8
4,2,"[2, 1, 16, 19, 2]",360,3,18,False,False,False,18,15
4,2,"[2, 1, 20, 11, 2]",264,3,18,False,False,False,18,15
4,2,"[2, 1, 20, 20, 2]",462,3,18,False,False,False,18,15
4,2,"[2, 17, 2, 20, 2]",148,10,18,False,False,False,18,8
4,2,"[2, 20, 2, 20, 2]",160,10,18,False,False,False,18,8
4,2,"[2, 3, 3, 2, 2]",25,12,18,False,False,True,17,5
4,2,"[2, 8, 8, 16, 2]",240,18,18,True,False,True,18,0
4,2,"[2, 2, 9, 9, 2]",121,12,18,False,False,True,18,6
4,2,"[2, 2, 15, 8, 2]",170,12,18,False,False,True,18,6
4,2,"[2, 3, 9, 4, 2]",77,18,18,True,False,True,18,0
4,2,"[2, 12, 13, 3, 2]",225,18,18,True,False,True,18,0
4,2,"[2, 5, 6, 2, 2]",56,12,18,False,False,True,18,6
4,2,"[2, 9, 7, 2, 2]",99,12,18,False,False,True,18,6
4,2,"[2, 13, 8, 7, 2]",200,18,18,True,False,True,18,0
4,2,"[2, 14, 10, 2, 2]",192,12,18,False,False,True,18,6
4,2,"[2, 9, 12, 2, 2]",154,12,18,False,False,True,18,6
4,2,"[2, 15, 12, 3, 2]",252,18,18,True,False,True,18,0
4,2,"[2, 2, 7, 13, 2]",135,12,18,False,False,True,18,6
4,2,"[2, 15, 9, 3, 2]",198,18,18,True,False,True,18,0
4,2,"[2, 13, 4, 4, 2]",102,18,18,True,False,True,18,0
4,2,"[2, 3, 5, 14, 2]",119,18,18,True,False,True,18,0
4,2,"[2, 5, 7, 4, 2]",81,18,18,True,False,True,18,0
4,2,"[2, 5, 9, 3, 2]",88,18,18,True,False,True,18,0
4,2,"[2, 2, 14, 16, 2]",288,12,18,False,False,True,18,6
4,2,"[2, 11, 4, 3, 2]",84,18,18,True,False,True,18,0
4,2,"[2, 7, 4, 4, 2]",66,18,18,True,False,True,18,0
4,2,"[2, 8, 3, 3, 2]",55,18,18,True,False,True,18,0
4,2,"[2, 3, 8, 7, 2]",100,18,18,True,False,True,18,0
4,2,"[2, 3, 3, 5, 2]",40,18,18,True,False,True,18,0
4,2,"[2, 5, 14, 2, 2]",112,12,18,False,False,True,18,6
4,2,"[2, 2, 16, 13, 2]",270,12,18,False,False,True,18,6
4,2,"[2, 4, 11, 3, 2]",91,18,18,True,False,True,18,0
4,2,"[2, 4, 10, 3, 2]",84,18,18,True,False,True,18,0
4,2,"[2, 2, 16, 16, 2]",324,12,18,False,False,True,18,6
4,2,"[2, 8, 14, 2, 2]",160,12,18,False,False,True,18,6
4,2,"[2, 5, 6, 4, 2]",72,18,18,True,False,True,18,0
4,2,"[2, 16, 11, 2, 2]",234,12,18,False,False,True,18,6
4,2,"[2, 5, 4, 3, 2]",48,18,18,True,False,True,18,0
4,2,"[2, 10, 14, 2, 2]",192,12,18,False,False,True,18,6
4,2,"[2, 16, 13, 2, 2]",270,12,18,False,False,True,18,6
4,2,"[2, 3, 7, 4, 2]",63,18,18,True,False,True,18,0
4,2,"[2, 3, 5, 3, 2]",42,18,18,True,False,True,18,0
4,2,"[2, 7, 15, 2, 2]",153,12,18,False,False,True,18,6
4,2,"[2, 7, 3, 3, 2]",50,18,18,True,False,True,18,0
4,2,"[2, 12, 14, 2, 2]",224,12,18,False,False,True,18,6
4,2,"[2, 4, 3, 3, 2]",35,18,18,True,False,True,18,0
4,2,"[2, 10, 15, 2, 2]",204,12,18,False,False,True,18,6
4,2,"[2, 12, 15, 2, 2]",238,12,18,False,False,True,18,6
4,2,"[2, 14, 15, 2, 2]",272,12,18,False,False,True,18,6
4,2,"[2, 16, 14, 2, 2]",288,12,18,False,False,True,18,6
4,2,"[2, 9, 16, 2, 2]",198,12,18,False,False,True,18,6
4,2,"[2, 11, 16, 2, 2]",234,12,18,False,False,True,18,6
4,2,"[2, 12, 16, 2, 2]",252,12,18,False,False,True,18,6
4,2,"[2, 15, 16, 2, 2]",306,12,18,False,False,True,18,6
4,2,"[2, 16, 15, 2, 2]",306,12,18,False,False,True,18,6
4,2,"[2, 16, 16, 2, 2]",324,12,18,False,False,True,18,6
4,2,"[2, 13, 18, 2, 2]",300,12,18,False,False,True,18,6
4,2,"[2, 17, 8, 2, 2]",190,12,18,False,False,True,18,6
4,2,"[2, 19, 19, 2, 2]",441,12,18,False,False,True,18,6
4,2,"[2, 2, 7, 19, 2]",189,12,18,False,False,True,18,6
4,2,"[2, 2, 8, 19, 2]",210,12,18,False,False,True,18,6
