h,exponent,architecture,num_parameters,dimension_computed,ambient_dimension,is_full_dimension,is_minimal,is_unimodal,expected_dimension,defect
2,2,"[2, 3, 3]",15,9,9,True,True,True,9,0
2,2,"[2, 4, 3]",20,9,9,True,False,True,9,0
2,2,"[2, 2, 3]",10,8,9,False,False,True,8,0
3,2,"[2, 3, 3, 3]",24,15,15,True,True,True,15,0
3,2,"[2, 1, 4, 3]",18,4,15,False,False,False,13,9
3,2,"[2, 1, 5, 3]",22,4,15,False,False,False,15,11
3,2,"[2, 3, 2, 3]",18,10,15,False,False,False,13,3
3,2,"[2, 6, 2, 3]",30,10,15,False,False,False,15,5
3,2,"[2, 1, 8, 3]",34,4,15,False,False,False,15,11
3,2,"[2, 9, 2, 3]",42,10,15,False,False,False,15,5
3,2,"[2, 1, 9, 3]",38,4,15,False,False,False,15,11
3,2,"[2, 1, 10, 3]",42,4,15,False,False,False,15,11
3,2,"[2, 10, 1, 3]",33,5,15,False,False,False,15,10
3,2,"[2, 10, 2, 3]",46,10,15,False,False,False,15,5
3,2,"[2, 13, 2, 3]",58,10,15,False,False,False,15,5
3,2,"[2, 16, 1, 3]",51,5,15,False,False,False,15,10
3,2,"[2, 19, 1, 3]",60,5,15,False,False,False,15,10
3,2,"[2, 16, 2, 3]",70,10,15,False,False,False,15,5
3,2,"[2, 1, 20, 3]",82,4,15,False,False,False,15,11
3,2,"[2, 18, 2, 3]",78,10,15,False,False,False,15,5
3,2,"[2, 20, 2, 3]",86,10,15,False,False,False,15,5
3,2,"[2, 6, 5, 3]",57,15,15,True,False,True,15,0
3,2,"[2, 5, 6, 3]",58,15,15,True,False,True,15,0
3,2,"[2, 3, 4, 3]",30,15,15,True,False,True,15,0
3,2,"[2, 5, 3, 3]",34,15,15,True,False,True,15,0
3,2,"[2, 2, 3, 3]",19,11,15,False,False,True,14,3
3,2,"[2, 2, 6, 3]",34,11,15,False,False,True,15,4
3,2,"[2, 2, 10, 3]",54,11,15,False,False,True,15,4
3,2,"[2, 2, 18, 3]",94,11,15,False,False,True,15,4
3,2,"[2, 2, 19, 3]",99,11,15,False,False,True,15,4
3,2,"[2, 2, 20, 3]",104,11,15,False,False,True,15,4
4,2,"[2, 3, 4, 4, 3]",46,27,27,True,True,True,27,0
4,2,"[2, 6, 2, 1, 3]",29,7,27,False,False,False,20,13
4,2,"[2, 5, 2, 4, 3]",40,13,27,False,False,False,27,14
4,2,"[2, 6, 3, 5, 3]",60,24,27,False,False,False,27,3
4,2,"[2, 6, 2, 6, 3]",54,13,27,False,False,False,27,14
4,2,"[2, 4, 3, 6, 3]",56,24,27,False,False,False,27,3
4,2,"[2, 5, 3, 6, 3]",61,24,27,False,False,False,27,3
4,2,"[2, 6, 3, 6, 3]",66,24,27,False,False,False,27,3
4,2,"[2, 5, 2, 10, 3]",70,13,27,False,False,False,27,14
4,2,"[2, 6, 2, 10, 3]",74,13,27,False,False,False,27,14
4,2,"[2, 7, 5, 1, 3]",57,7,27,False,False,False,27,20
4,2,"[2, 1, 6, 9, 3]",89,4,27,False,False,False,27,23
4,2,"[2, 9, 4, 2, 3]",68,14,27,False,False,False,27,13
4,2,"[2, 8, 9, 2, 3]",112,14,27,False,False,False,27,13
4,2,"[2, 8, 1, 8, 3]",56,5,27,False,False,False,27,22
4,2,"[2, 7, 2, 7, 3]",63,13,27,False,False,False,27,14
4,2,"[2, 6, 10, 2, 3]",98,14,27,False,False,False,27,13
4,2,"[2, 6, 3, 9, 3]",84,24,27,False,False,False,27,3
4,2,"[2, 9, 1, 4, 3]",43,5,27,False,False,False,27,22
4,2,"[2, 7, 10, 1, 3]",97,7,27,False,False,False,27,20
4,2,"[2, 10, 1, 6, 3]",54,5,27,False,False,False,27,22
4,2,"[2, 10, 7, 1, 3]",100,7,27,False,False,False,27,20
4,2,"[2, 1, 4, 10, 3]",76,4,27,False,False,False,27,23
4,2,"[2, 9, 3, 5, 3]",75,24,27,False,False,False,27,3
4,2,"[2, 10, 6, 2, 3]",98,14,27,False,False,False,27,13
4,2,"[2, 9, 3, 7, 3]",87,24,27,False,False,False,27,3
4,2,"[2, 10, 3, 5, 3]",80,24,27,False,False,False,27,3
4,2,"[2, 9, 9, 2, 3]",123,14,27,False,False,False,27,13
4,2,"[2, 10, 1, 10, 3]",70,5,27,False,False,False,27,22
4,2,"[2, 4, 3, 10, 3]",80,24,27,False,False,False,27,3
4,2,"[2, 10, 2, 9, 3]",85,13,27,False,False,False,27,14
4,2,"[2, 10, 10, 1, 3]",133,7,27,False,False,False,27,20
4,2,"[2, 10, 3, 10, 3]",110,24,27,False,False,False,27,3
4,2,"[2, 10, 8, 2, 3]",122,14,27,False,False,False,27,13
4,2,"[2, 1, 9, 10, 3]",131,4,27,False,False,False,27,23
4,2,"[2, 9, 10, 2, 3]",134,14,27,False,False,False,27,13
4,2,"[2, 1, 10, 10, 3]",142,4,27,False,False,False,27,23
4,2,"[2, 12, 17, 1, 3]",248,7,27,False,False,False,27,20
4,2,"[2, 18, 16, 2, 3]",362,14,27,False,False,False,27,13
4,2,"[2, 12, 18, 1, 3]",261,7,27,False,False,False,27,20
4,2,"[2, 1, 5, 18, 3]",151,4,27,False,False,False,27,23
4,2,"[2, 5, 2, 11, 3]",75,13,27,False,False,False,27,14
4,2,"[2, 3, 1, 19, 3]",85,5,27,False,False,False,27,22
4,2,"[2, 12, 2, 16, 3]",128,13,27,False,False,False,27,14
4,2,"[2, 8, 1, 18, 3]",96,5,27,False,False,False,27,22
4,2,"[2, 10, 3, 15, 3]",140,24,27,False,False,False,27,3
4,2,"[2, 16, 1, 18, 3]",120,5,27,False,False,False,27,22
4,2,"[2, 1, 16, 7, 3]",151,4,27,False,False,False,27,23
4,2,"[2, 12, 3, 12, 3]",132,24,27,False,False,False,27,3
4,2,"[2, 18, 3, 9, 3]",144,24,27,False,False,False,27,3
4,2,"[2, 20, 15, 1, 3]",358,7,27,False,False,False,27,20
4,2,"[2, 14, 1, 20, 3]",122,5,27,False,False,False,27,22
4,2,"[2, 6, 3, 18, 3]",138,24,27,False,False,False,27,3
4,2,"[2, 20, 1, 17, 3]",128,5,27,False,False,False,27,22
4,2,"[2, 19, 2, 4, 3]",96,13,27,False,False,False,27,14
4,2,"[2, 18, 3, 19, 3]",204,24,27,False,False,False,27,3
4,2,"[2, 19, 2, 5, 3]",101,13,27,False,False,False,27,14
4,2,"[2, 1, 20, 19, 3]",459,4,27,False,False,False,27,23
4,2,"[2, 1, 7, 20, 3]",209,4,27,False,False,False,27,23
4,2,"[2, 20, 1, 19, 3]",136,5,27,False,False,False,27,22
4,2,"[2, 11, 3, 20, 3]",175,24,27,False,False,False,27,3
4,2,"[2, 20, 3, 11, 3]",166,24,27,False,False,False,27,3
4,2,"[2, 20, 2, 17, 3]",165,13,27,False,False,False,27,14
4,2,"[2, 12, 3, 20, 3]",180,24,27,False,False,False,27,3
4,2,"[2, 15, 1, 20, 3]",125,5,27,False,False,False,27,22
4,2,"[2, 14, 3, 20, 3]",190,24,27,False,False,False,27,3
4,2,"[2, 20, 7, 2, 3]",200,14,27,False,False,False,27,13
4,2,"[2, 19, 3, 19, 3]",209,24,27,False,False,False,27,3
4,2,"[2, 20, 3, 16, 3]",196,24,27,False,False,False,27,3
4,2,"[2, 20, 3, 18, 3]",208,24,27,False,False,False,27,3
4,2,"[2, 16, 3, 20, 3]",200,24,27,False,False,False,27,3
4,2,"[2, 17, 1, 20, 3]",131,5,27,False,False,False,27,22
4,2,"[2, 20, 3, 20, 3]",220,24,27,False,False,False,27,3
4,2,"[2, 20, 20, 1, 3]",463,7,27,False,False,False,27,20
4,2,"[2, 1, 20, 20, 3]",482,4,27,False,False,False,27,23
4,2,"[2, 2, 6, 6, 3]",70,17,27,False,False,True,27,10
4,2,"[2, 6, 6, 3, 3]",75,21,27,False,False,True,27,6
