h,exponent,architecture,num_parameters,dimension_computed,ambient_dimension,is_full_dimension,is_minimal,expected_dimension,defect_expected,defect_ambient,backend,primes,elapsed_seconds,status,covered_by_mfa,is_unimodal,defect
2.0,6.0,"[2, 6, 5]",42.0,35.0,35.0,True,True,35,,,,,,,,True,0.0
2.0,6.0,"[2, 1, 5]",7.0,6.0,35.0,False,False,6,0.0,29.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.0134001999995234,nonfilling,[[6]],False,0.0
2.0,6.0,"[2, 190, 5]",1330.0,35.0,35.0,True,False,35,,,,,,,,True,0.0
2.0,6.0,"[2, 113, 5]",791.0,35.0,35.0,True,False,35,,,,,,,,True,0.0
2.0,6.0,"[2, 94, 5]",658.0,35.0,35.0,True,False,35,,,,,,,,True,0.0
2.0,6.0,"[2, 22, 5]",154.0,35.0,35.0,True,False,35,,,,,,,,True,0.0
2.0,6.0,"[2, 11, 5]",77.0,35.0,35.0,True,False,35,,,,,,,,True,0.0
2.0,6.0,"[2, 7, 5]",49.0,35.0,35.0,True,False,35,,,,,,,,True,0.0
2.0,6.0,"[2, 5, 5]",35.0,30.0,35.0,False,False,30,,,,,,,,True,0.0
2.0,6.0,"[2, 4, 5]",28.0,24.0,35.0,False,False,24,0.0,11.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.0553529999997408,nonfilling,[[6]],True,0.0
2.0,6.0,"[2, 3, 5]",21.0,18.0,35.0,False,False,18,0.0,17.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.0438384999997651,nonfilling,[[6]],True,0.0
2.0,6.0,"[2, 2, 5]",14.0,12.0,35.0,False,False,12,0.0,23.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.0264741000009962,nonfilling,[[6]],True,0.0
3.0,6.0,"[2, 4, 23, 5]",215.0,185.0,185.0,True,True,185,,,,,,,,True,0.0
3.0,6.0,"[2, 7, 17, 5]",218.0,185.0,185.0,True,True,185,,,,,,,,True,0.0
3.0,6.0,"[2, 6, 18, 5]",210.0,185.0,185.0,True,True,185,,,,,,,,True,0.0
3.0,6.0,"[2, 5, 20, 5]",210.0,185.0,185.0,True,True,185,,,,,,,,True,0.0
3.0,6.0,"[2, 1, 174, 5]",1046.0,6.0,185.0,False,False,185,,,,,,,,False,179.0
3.0,6.0,"[2, 1, 281, 5]",1688.0,6.0,185.0,False,False,185,,,,,,,,False,179.0
3.0,6.0,"[2, 90, 1, 5]",275.0,11.0,185.0,False,False,184,,,,,,,,False,173.0
3.0,6.0,"[2, 1, 295, 5]",1772.0,6.0,185.0,False,False,185,,,,,,,,False,179.0
3.0,6.0,"[2, 1, 298, 5]",1790.0,6.0,185.0,False,False,185,,,,,,,,False,179.0
3.0,6.0,"[2, 1, 23, 5]",140.0,6.0,185.0,False,False,116,110.0,179.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.0778664000008575,nonfilling,"[[4, 23]]",False,110.0
3.0,6.0,"[2, 1, 22, 5]",134.0,6.0,185.0,False,False,111,105.0,179.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.0835839999999734,nonfilling,"[[4, 23]]",False,105.0
3.0,6.0,"[2, 1, 21, 5]",128.0,6.0,185.0,False,False,106,100.0,179.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.0647824999996373,nonfilling,"[[4, 23]]",False,100.0
3.0,6.0,"[2, 1, 20, 5]",122.0,6.0,185.0,False,False,101,95.0,179.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.0677224999999452,nonfilling,"[[4, 23], [5, 20]]",False,95.0
3.0,6.0,"[2, 1, 19, 5]",116.0,6.0,185.0,False,False,96,90.0,179.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.0752855000009731,nonfilling,"[[4, 23], [5, 20]]",False,90.0
3.0,6.0,"[2, 1, 18, 5]",110.0,6.0,185.0,False,False,91,85.0,179.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.0637817999995604,nonfilling,"[[4, 23], [5, 20], [6, 18]]",False,85.0
3.0,6.0,"[2, 1, 17, 5]",104.0,6.0,185.0,False,False,86,80.0,179.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.0621901000013167,nonfilling,"[[4, 23], [5, 20], [6, 18], [7, 17]]",False,80.0
3.0,6.0,"[2, 1, 16, 5]",98.0,6.0,185.0,False,False,81,75.0,179.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.0588810999997804,nonfilling,"[[4, 23], [5, 20], [6, 18], [7, 17]]",False,75.0
3.0,6.0,"[2, 1, 15, 5]",92.0,6.0,185.0,False,False,76,70.0,179.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.0561303999984375,nonfilling,"[[4, 23], [5, 20], [6, 18], [7, 17]]",False,70.0
