h,exponent,architecture,num_parameters,dimension_computed,ambient_dimension,is_full_dimension,is_minimal,expected_dimension,defect_expected,defect_ambient,backend,primes,elapsed_seconds,status,covered_by_mfa,shrunk_hidden_layers,is_unimodal,defect
2,2,"[9, 9, 1]",90,45,45,True,True,45,,,,,,,,,True,0
2,2,"[9, 291, 1]",2910,45,45,True,False,45,,,,,,,,,True,0
2,2,"[9, 238, 1]",2380,45,45,True,False,45,,,,,,,,,True,0
2,2,"[9, 75, 1]",750,45,45,True,False,45,,,,,,,,,True,0
2,2,"[9, 8, 1]",80,44,45,False,False,45,,,,,,,,,True,1
2,2,"[9, 70, 1]",700,45,45,True,False,45,,,,,,,,,True,0
2,2,"[9, 33, 1]",330,45,45,True,False,45,,,,,,,,,True,0
3,2,"[9, 25, 18, 1]",693,495,495,True,True,495,,,,,,,,,True,0
3,2,"[9, 27, 14, 1]",635,495,495,True,True,495,,,,,,,,,True,0
3,2,"[9, 26, 16, 1]",666,495,495,True,True,495,,,,,,,,,True,0
3,2,"[9, 28, 13, 1]",629,495,495,True,True,495,,,,,,,,,True,0
3,2,"[9, 3, 289, 1]",1183,30,495,False,False,495,,,,,,,,,False,465
3,2,"[9, 3, 299, 1]",1223,30,495,False,False,495,,,,,,,,,False,465
3,2,"[9, 193, 121, 1]",25211,495,495,True,False,495,,,,,,,,,True,0
3,2,"[9, 52, 72, 1]",4284,495,495,True,False,495,,,,,,,,,True,0
3,2,"[9, 55, 60, 1]",3855,495,495,True,False,495,,,,,,,,,True,0
3,2,"[9, 28, 253, 1]",7589,495,495,True,False,495,,,,,,,,,True,0
3,2,"[9, 23, 276, 1]",6831,460,495,False,False,495,,,,,,,,,True,35
3,2,"[9, 116, 32, 1]",4788,495,495,True,False,495,,,,,,,,,True,0
3,2,"[9, 157, 13, 1]",3467,495,495,True,False,495,,,,,,,,,True,0
3,2,"[9, 266, 3, 1]",3195,132,495,False,False,495,,,,,,,,,True,363
3,2,"[9, 30, 143, 1]",4703,495,495,True,False,495,,,,,,,,,True,0
3,2,"[9, 119, 21, 1]",3591,495,495,True,False,495,,,,,,,,,True,0
3,2,"[9, 177, 4, 1]",2305,174,495,False,False,495,,,,,,,,,True,321
3,2,"[9, 26, 299, 1]",8307,495,495,True,False,495,,,,,,,,,True,0
3,2,"[9, 37, 56, 1]",2461,495,495,True,False,495,,,,,,,,,True,0
3,2,"[9, 87, 18, 1]",2367,495,495,True,False,495,,,,,,,,,True,0
3,2,"[9, 26, 57, 1]",1773,495,495,True,False,495,,,,,,,,,True,0
3,2,"[9, 50, 36, 1]",2286,495,495,True,False,495,,,,,,,,,True,0
3,2,"[9, 24, 37, 1]",1141,492,495,False,False,495,,,,,,,,,True,3
3,2,"[9, 81, 30, 1]",3189,495,495,True,False,495,,,,,,,,,True,0
3,2,"[9, 43, 29, 1]",1663,495,495,True,False,495,,,,,,,,,True,0
3,2,"[9, 185, 8, 1]",3153,332,495,False,False,495,,,,,,,,,True,163
3,2,"[9, 293, 12, 1]",6165,474,495,False,False,495,,,,,,,,,True,21
