h,exponent,architecture,num_parameters,dimension_computed,ambient_dimension,is_full_dimension,is_minimal,expected_dimension,defect_expected,defect_ambient,backend,primes,elapsed_seconds,status,covered_by_mfa,shrunk_hidden_layers,is_unimodal,defect,d0,dh,r
2.0,1.0,"[1, 1, 1]",2.0,1.0,1.0,True,True,1,0.0,0.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",2.6434454999998707,filling_below_recorded_mfa,[[2]],,True,0.0,1,1,1
2.0,1.0,"[1, 1, 2]",3.0,2.0,2.0,True,True,2,,,,,,,,,True,0.0,1,2,1
2.0,1.0,"[1, 1, 3]",4.0,3.0,3.0,True,True,3,,,,,,,,,True,0.0,1,3,1
2.0,1.0,"[1, 1, 4]",5.0,4.0,4.0,True,True,4,,,,,,,,,True,0.0,1,4,1
2.0,1.0,"[1, 1, 5]",6.0,5.0,5.0,True,True,5,,,,,,,,,True,0.0,1,5,1
2.0,1.0,"[1, 1, 6]",7.0,6.0,6.0,True,True,6,,,,,,,,,True,0.0,1,6,1
2.0,1.0,"[1, 1, 7]",8.0,7.0,7.0,True,True,7,,,,,,,,,True,0.0,1,7,1
2.0,1.0,"[1, 1, 8]",9.0,8.0,8.0,True,True,8,,,,,,,,,True,0.0,1,8,1
2.0,1.0,"[1, 1, 9]",10.0,9.0,9.0,True,True,9,,,,,,,,,True,0.0,1,9,1
2.0,1.0,"[2, 1, 1]",3.0,2.0,2.0,True,True,2,,,,,,,,,True,0.0,2,1,1
2.0,1.0,"[2, 2, 2]",8.0,4.0,4.0,True,True,4,,,,,,,,,True,0.0,2,2,1
2.0,1.0,"[2, 2, 3]",10.0,6.0,6.0,True,True,6,,,,,,,,,True,0.0,2,3,1
2.0,1.0,"[2, 2, 4]",12.0,8.0,8.0,True,True,8,,,,,,,,,True,0.0,2,4,1
2.0,1.0,"[2, 2, 5]",14.0,10.0,10.0,True,True,10,,,,,,,,,True,0.0,2,5,1
2.0,1.0,"[2, 2, 6]",16.0,12.0,12.0,True,True,12,,,,,,,,,True,0.0,2,6,1
2.0,1.0,"[2, 2, 7]",18.0,14.0,14.0,True,True,14,,,,,,,,,True,0.0,2,7,1
2.0,1.0,"[2, 2, 8]",20.0,16.0,16.0,True,True,16,,,,,,,,,True,0.0,2,8,1
2.0,1.0,"[2, 2, 9]",22.0,18.0,18.0,True,True,18,,,,,,,,,True,0.0,2,9,1
2.0,1.0,"[3, 1, 1]",4.0,3.0,3.0,True,True,3,,,,,,,,,True,0.0,3,1,1
2.0,1.0,"[3, 2, 2]",10.0,6.0,6.0,True,True,6,,,,,,,,,True,0.0,3,2,1
2.0,1.0,"[3, 3, 3]",18.0,9.0,9.0,True,True,9,,,,,,,,,True,0.0,3,3,1
2.0,1.0,"[3, 3, 4]",21.0,12.0,12.0,True,True,12,,,,,,,,,True,0.0,3,4,1
2.0,1.0,"[3, 3, 5]",24.0,15.0,15.0,True,True,15,,,,,,,,,True,0.0,3,5,1
2.0,1.0,"[3, 3, 6]",27.0,18.0,18.0,True,True,18,,,,,,,,,True,0.0,3,6,1
2.0,1.0,"[3, 3, 7]",30.0,21.0,21.0,True,True,21,,,,,,,,,True,0.0,3,7,1
2.0,1.0,"[3, 3, 8]",33.0,24.0,24.0,True,True,24,,,,,,,,,True,0.0,3,8,1
2.0,1.0,"[3, 3, 9]",36.0,27.0,27.0,True,True,27,,,,,,,,,True,0.0,3,9,1
2.0,1.0,"[4, 1, 1]",5.0,4.0,4.0,True,True,4,,,,,,,,,True,0.0,4,1,1
2.0,1.0,"[4, 2, 2]",12.0,8.0,8.0,True,True,8,,,,,,,,,True,0.0,4,2,1
2.0,1.0,"[4, 3, 3]",21.0,12.0,12.0,True,True,12,,,,,,,,,True,0.0,4,3,1
2.0,1.0,"[4, 4, 4]",32.0,16.0,16.0,True,True,16,,,,,,,,,True,0.0,4,4,1
2.0,1.0,"[4, 4, 5]",36.0,20.0,20.0,True,True,20,,,,,,,,,True,0.0,4,5,1
2.0,1.0,"[4, 4, 6]",40.0,24.0,24.0,True,True,24,,,,,,,,,True,0.0,4,6,1
2.0,1.0,"[4, 4, 7]",44.0,28.0,28.0,True,True,28,,,,,,,,,True,0.0,4,7,1
2.0,1.0,"[4, 4, 8]",48.0,32.0,32.0,True,True,32,,,,,,,,,True,0.0,4,8,1
2.0,1.0,"[4, 4, 9]",52.0,36.0,36.0,True,True,36,,,,,,,,,True,0.0,4,9,1
2.0,1.0,"[5, 1, 1]",6.0,5.0,5.0,True,True,5,,,,,,,,,True,0.0,5,1,1
2.0,1.0,"[5, 2, 2]",14.0,10.0,10.0,True,True,10,,,,,,,,,True,0.0,5,2,1
2.0,1.0,"[5, 3, 3]",24.0,15.0,15.0,True,True,15,,,,,,,,,True,0.0,5,3,1
2.0,1.0,"[5, 4, 4]",36.0,20.0,20.0,True,True,20,,,,,,,,,True,0.0,5,4,1
2.0,1.0,"[5, 5, 5]",50.0,25.0,25.0,True,True,25,,,,,,,,,True,0.0,5,5,1
2.0,1.0,"[5, 5, 6]",55.0,30.0,30.0,True,True,30,,,,,,,,,True,0.0,5,6,1
2.0,1.0,"[5, 5, 7]",60.0,35.0,35.0,True,True,35,,,,,,,,,True,0.0,5,7,1
2.0,1.0,"[5, 5, 8]",65.0,40.0,40.0,True,True,40,,,,,,,,,True,0.0,5,8,1
2.0,1.0,"[6, 1, 1]",7.0,6.0,6.0,True,True,6,,,,,,,,,True,0.0,6,1,1
2.0,1.0,"[7, 1, 1]",8.0,7.0,7.0,True,True,7,,,,,,,,,True,0.0,7,1,1
2.0,1.0,"[7, 2, 2]",18.0,14.0,14.0,True,True,14,,,,,,,,,True,0.0,7,2,1
2.0,1.0,"[8, 1, 1]",9.0,8.0,8.0,True,True,8,,,,,,,,,True,0.0,8,1,1
2.0,1.0,"[9, 1, 1]",10.0,9.0,9.0,True,True,9,,,,,,,,,True,0.0,9,1,1
2.0,2.0,"[1, 1, 1]",2.0,1.0,1.0,True,True,1,,,,,,,,,True,0.0,1,1,2
2.0,2.0,"[1, 1, 2]",3.0,2.0,2.0,True,True,2,,,,,,,,,True,0.0,1,2,2
2.0,2.0,"[1, 1, 3]",4.0,3.0,3.0,True,True,3,,,,,,,,,True,0.0,1,3,2
2.0,2.0,"[1, 1, 4]",5.0,4.0,4.0,True,True,4,,,,,,,,,True,0.0,1,4,2
2.0,2.0,"[1, 1, 5]",6.0,5.0,5.0,True,True,5,,,,,,,,,True,0.0,1,5,2
2.0,2.0,"[1, 1, 6]",7.0,6.0,6.0,True,True,6,,,,,,,,,True,0.0,1,6,2
2.0,2.0,"[1, 1, 7]",8.0,7.0,7.0,True,True,7,,,,,,,,,True,0.0,1,7,2
2.0,2.0,"[1, 1, 8]",9.0,8.0,8.0,True,True,8,,,,,,,,,True,0.0,1,8,2
2.0,2.0,"[1, 1, 9]",10.0,9.0,9.0,True,True,9,,,,,,,,,True,0.0,1,9,2
2.0,2.0,"[2, 2, 1]",6.0,3.0,3.0,True,True,3,,,,,,,,,True,0.0,2,1,2
2.0,2.0,"[2, 2, 2]",8.0,6.0,6.0,True,True,6,,,,,,,,,True,0.0,2,2,2
2.0,2.0,"[2, 3, 3]",15.0,9.0,9.0,True,True,9,,,,,,,,,True,0.0,2,3,2
2.0,2.0,"[2, 3, 4]",18.0,12.0,12.0,True,True,12,,,,,,,,,True,0.0,2,4,2
2.0,2.0,"[2, 3, 5]",21.0,15.0,15.0,True,True,15,,,,,,,,,True,0.0,2,5,2
2.0,2.0,"[2, 3, 6]",24.0,18.0,18.0,True,True,18,,,,,,,,,True,0.0,2,6,2
2.0,2.0,"[2, 3, 7]",27.0,21.0,21.0,True,True,21,,,,,,,,,True,0.0,2,7,2
2.0,2.0,"[2, 3, 8]",30.0,24.0,24.0,True,True,24,,,,,,,,,True,0.0,2,8,2
2.0,2.0,"[2, 3, 9]",33.0,27.0,27.0,True,True,27,,,,,,,,,True,0.0,2,9,2
2.0,2.0,"[3, 3, 1]",12.0,6.0,6.0,True,True,6,,,,,,,,,True,0.0,3,1,2
2.0,2.0,"[3, 3, 2]",15.0,12.0,12.0,True,True,12,,,,,,,,,True,0.0,3,2,2
2.0,2.0,"[3, 4, 3]",24.0,18.0,18.0,True,True,18,,,,,,,,,True,0.0,3,3,2
2.0,2.0,"[3, 4, 4]",28.0,24.0,24.0,True,True,24,,,,,,,,,True,0.0,3,4,2
2.0,2.0,"[3, 5, 5]",40.0,30.0,30.0,True,True,30,,,,,,,,,True,0.0,3,5,2
2.0,2.0,"[3, 6, 6]",54.0,36.0,36.0,True,True,36,,,,,,,,,True,0.0,3,6,2
2.0,2.0,"[3, 6, 7]",60.0,42.0,42.0,True,True,42,,,,,,,,,True,0.0,3,7,2
2.0,2.0,"[3, 6, 8]",66.0,48.0,48.0,True,True,48,,,,,,,,,True,0.0,3,8,2
2.0,2.0,"[3, 6, 9]",72.0,54.0,54.0,True,True,54,,,,,,,,,True,0.0,3,9,2
2.0,2.0,"[4, 4, 1]",20.0,10.0,10.0,True,True,10,,,,,,,,,True,0.0,4,1,2
2.0,2.0,"[4, 4, 2]",24.0,20.0,20.0,True,True,20,,,,,,,,,True,0.0,4,2,2
2.0,2.0,"[4, 6, 3]",42.0,30.0,30.0,True,True,30,,,,,,,,,True,0.0,4,3,2
2.0,2.0,"[4, 6, 4]",48.0,40.0,40.0,True,True,40,,,,,,,,,True,0.0,4,4,2
2.0,2.0,"[4, 7, 5]",63.0,50.0,50.0,True,True,50,,,,,,,,,True,0.0,4,5,2
2.0,2.0,"[4, 7, 6]",70.0,60.0,60.0,True,True,60,,,,,,,,,True,0.0,4,6,2
2.0,2.0,"[4, 7, 7]",77.0,70.0,70.0,True,True,70,,,,,,,,,True,0.0,4,7,2
2.0,2.0,"[4, 8, 8]",96.0,80.0,80.0,True,True,80,,,,,,,,,True,0.0,4,8,2
2.0,2.0,"[4, 9, 9]",117.0,90.0,90.0,True,True,90,,,,,,,,,True,0.0,4,9,2
2.0,2.0,"[5, 5, 1]",30.0,15.0,15.0,True,True,15,,,,,,,,,True,0.0,5,1,2
2.0,2.0,"[5, 5, 2]",35.0,30.0,30.0,True,True,30,,,,,,,,,True,0.0,5,2,2
2.0,2.0,"[5, 7, 3]",56.0,45.0,45.0,True,True,45,,,,,,,,,True,0.0,5,3,2
2.0,2.0,"[5, 8, 4]",72.0,60.0,60.0,True,True,60,,,,,,,,,True,0.0,5,4,2
2.0,2.0,"[5, 9, 5]",90.0,75.0,75.0,True,True,75,,,,,,,,,True,0.0,5,5,2
2.0,2.0,"[5, 9, 6]",99.0,90.0,90.0,True,True,90,,,,,,,,,True,0.0,5,6,2
2.0,2.0,"[5, 10, 7]",120.0,105.0,105.0,True,True,105,,,,,,,,,True,0.0,5,7,2
2.0,2.0,"[5, 10, 8]",130.0,120.0,120.0,True,True,120,,,,,,,,,True,0.0,5,8,2
2.0,2.0,"[6, 6, 1]",42.0,21.0,21.0,True,True,21,,,,,,,,,True,0.0,6,1,2
2.0,2.0,"[6, 6, 2]",48.0,42.0,42.0,True,True,42,,,,,,,,,True,0.0,6,2,2
2.0,2.0,"[7, 7, 1]",56.0,28.0,28.0,True,True,28,,,,,,,,,True,0.0,7,1,2
2.0,2.0,"[7, 7, 2]",63.0,56.0,56.0,True,True,56,,,,,,,,,True,0.0,7,2,2
2.0,2.0,"[8, 8, 1]",72.0,36.0,36.0,True,True,36,,,,,,,,,True,0.0,8,1,2
2.0,2.0,"[9, 9, 1]",90.0,45.0,45.0,True,True,45,,,,,,,,,True,0.0,9,1,2
2.0,3.0,"[1, 1, 1]",2.0,1.0,1.0,True,True,1,,,,,,,,,True,0.0,1,1,3
2.0,3.0,"[1, 1, 2]",3.0,2.0,2.0,True,True,2,,,,,,,,,True,0.0,1,2,3
2.0,3.0,"[1, 1, 3]",4.0,3.0,3.0,True,True,3,,,,,,,,,True,0.0,1,3,3
2.0,3.0,"[1, 1, 4]",5.0,4.0,4.0,True,True,4,,,,,,,,,True,0.0,1,4,3
2.0,3.0,"[1, 1, 5]",6.0,5.0,5.0,True,True,5,,,,,,,,,True,0.0,1,5,3
2.0,3.0,"[1, 1, 6]",7.0,6.0,6.0,True,True,6,,,,,,,,,True,0.0,1,6,3
2.0,3.0,"[1, 1, 7]",8.0,7.0,7.0,True,True,7,,,,,,,,,True,0.0,1,7,3
2.0,3.0,"[1, 1, 8]",9.0,8.0,8.0,True,True,8,,,,,,,,,True,0.0,1,8,3
2.0,3.0,"[1, 1, 9]",10.0,9.0,9.0,True,True,9,,,,,,,,,True,0.0,1,9,3
2.0,3.0,"[2, 2, 1]",6.0,4.0,4.0,True,True,4,,,,,,,,,True,0.0,2,1,3
2.0,3.0,"[2, 3, 2]",12.0,8.0,8.0,True,True,8,,,,,,,,,True,0.0,2,2,3
2.0,3.0,"[2, 3, 3]",15.0,12.0,12.0,True,True,12,,,,,,,,,True,0.0,2,3,3
2.0,3.0,"[2, 4, 4]",24.0,16.0,16.0,True,True,16,,,,,,,,,True,0.0,2,4,3
2.0,3.0,"[2, 4, 5]",28.0,20.0,20.0,True,True,20,,,,,,,,,True,0.0,2,5,3
2.0,3.0,"[2, 4, 6]",32.0,24.0,24.0,True,True,24,,,,,,,,,True,0.0,2,6,3
2.0,3.0,"[2, 4, 7]",36.0,28.0,28.0,True,True,28,,,,,,,,,True,0.0,2,7,3
2.0,3.0,"[2, 4, 8]",40.0,32.0,32.0,True,True,32,,,,,,,,,True,0.0,2,8,3
2.0,3.0,"[2, 4, 9]",44.0,36.0,36.0,True,True,36,,,,,,,,,True,0.0,2,9,3
2.0,3.0,"[3, 4, 1]",16.0,10.0,10.0,True,True,10,,,,,,,,,True,0.0,3,1,3
2.0,3.0,"[3, 6, 2]",30.0,20.0,20.0,True,True,20,,,,,,,,,True,0.0,3,2,3
2.0,3.0,"[3, 6, 3]",36.0,30.0,30.0,True,True,30,,,,,,,,,True,0.0,3,3,3
2.0,3.0,"[3, 7, 4]",49.0,40.0,40.0,True,True,40,,,,,,,,,True,0.0,3,4,3
2.0,3.0,"[3, 8, 5]",64.0,50.0,50.0,True,True,50,,,,,,,,,True,0.0,3,5,3
2.0,3.0,"[3, 8, 6]",72.0,60.0,60.0,True,True,60,,,,,,,,,True,0.0,3,6,3
2.0,3.0,"[3, 8, 7]",80.0,70.0,70.0,True,True,70,,,,,,,,,True,0.0,3,7,3
2.0,3.0,"[3, 8, 8]",88.0,80.0,80.0,True,True,80,,,,,,,,,True,0.0,3,8,3
2.0,3.0,"[3, 9, 9]",108.0,90.0,90.0,True,True,90,,,,,,,,,True,0.0,3,9,3
2.0,3.0,"[4, 5, 1]",25.0,20.0,20.0,True,True,20,,,,,,,,,True,0.0,4,1,3
2.0,3.0,"[4, 8, 2]",48.0,40.0,40.0,True,True,40,,,,,,,,,True,0.0,4,2,3
2.0,3.0,"[4, 10, 3]",70.0,60.0,60.0,True,True,60,,,,,,,,,True,0.0,4,3,3
2.0,3.0,"[4, 12, 4]",96.0,80.0,80.0,True,True,80,,,,,,,,,True,0.0,4,4,3
2.0,3.0,"[4, 13, 5]",117.0,100.0,100.0,True,True,100,,,,,,,,,True,0.0,4,5,3
2.0,3.0,"[4, 14, 6]",140.0,120.0,120.0,True,True,120,,,,,,,,,True,0.0,4,6,3
2.0,3.0,"[4, 14, 7]",154.0,140.0,140.0,True,True,140,,,,,,,,,True,0.0,4,7,3
2.0,3.0,"[4, 15, 8]",180.0,160.0,160.0,True,True,160,,,,,,,,,True,0.0,4,8,3
2.0,3.0,"[4, 15, 9]",195.0,180.0,180.0,True,True,180,,,,,,,,,True,0.0,4,9,3
2.0,3.0,"[5, 8, 1]",48.0,35.0,35.0,True,True,35,,,,,,,,,True,0.0,5,1,3
2.0,3.0,"[5, 12, 2]",84.0,70.0,70.0,True,True,70,,,,,,,,,True,0.0,5,2,3
2.0,3.0,"[5, 15, 3]",120.0,105.0,105.0,True,True,105,,,,,,,,,True,0.0,5,3,3
2.0,3.0,"[5, 18, 4]",162.0,140.0,140.0,True,True,140,,,,,,,,,True,0.0,5,4,3
2.0,3.0,"[5, 20, 5]",200.0,175.0,175.0,True,True,175,,,,,,,,,True,0.0,5,5,3
2.0,3.0,"[5, 21, 6]",231.0,210.0,210.0,True,True,210,,,,,,,,,True,0.0,5,6,3
2.0,3.0,"[5, 23, 7]",276.0,245.0,245.0,True,True,245,,,,,,,,,True,0.0,5,7,3
2.0,3.0,"[5, 24, 8]",312.0,280.0,280.0,True,True,280,,,,,,,,,True,0.0,5,8,3
2.0,3.0,"[6, 10, 1]",70.0,56.0,56.0,True,True,56,,,,,,,,,True,0.0,6,1,3
2.0,3.0,"[7, 12, 1]",96.0,84.0,84.0,True,True,84,,,,,,,,,True,0.0,7,1,3
2.0,3.0,"[7, 21, 2]",189.0,168.0,168.0,True,True,168,,,,,,,,,True,0.0,7,2,3
2.0,3.0,"[8, 15, 1]",135.0,120.0,120.0,True,True,120,,,,,,,,,True,0.0,8,1,3
2.0,3.0,"[9, 19, 1]",190.0,165.0,165.0,True,True,165,,,,,,,,,True,0.0,9,1,3
2.0,4.0,"[1, 1, 1]",2.0,1.0,1.0,True,True,1,,,,,,,,,True,0.0,1,1,4
2.0,4.0,"[1, 1, 2]",3.0,2.0,2.0,True,True,2,,,,,,,,,True,0.0,1,2,4
2.0,4.0,"[1, 1, 3]",4.0,3.0,3.0,True,True,3,,,,,,,,,True,0.0,1,3,4
2.0,4.0,"[1, 1, 4]",5.0,4.0,4.0,True,True,4,,,,,,,,,True,0.0,1,4,4
2.0,4.0,"[1, 1, 5]",6.0,5.0,5.0,True,True,5,,,,,,,,,True,0.0,1,5,4
