h,exponent,architecture,num_parameters,dimension_computed,ambient_dimension,is_full_dimension,is_minimal,expected_dimension,defect_expected,defect_ambient,backend,primes,elapsed_seconds,status,covered_by_mfa,is_unimodal,shrunk_hidden_layers,defect,d0,dh,r
2.0,2.0,"[2, 1, 1]",3.0,2.0,3.0,False,False,2,,,,,,,,True,,0.0,2,1,2
2.0,1.0,"[2, 1, 2]",4.0,3.0,4.0,False,False,3,,,,,,,,False,,0.0,2,2,1
2.0,4.0,"[2, 2, 1]",6.0,4.0,5.0,False,False,4,,,,,,,,True,,0.0,2,1,4
2.0,2.0,"[3, 2, 1]",8.0,5.0,6.0,False,False,6,,,,,,,,True,,1.0,3,1,2
2.0,6.0,"[2, 3, 1]",9.0,6.0,7.0,False,False,6,,,,,,,,True,,0.0,2,1,6
2.0,2.0,"[2, 2, 3]",10.0,8.0,9.0,False,False,8,,,,,,,,True,,0.0,2,3,2
2.0,8.0,"[2, 4, 1]",12.0,8.0,9.0,False,False,8,,,,,,,,True,,0.0,2,1,8
2.0,1.0,"[3, 2, 3]",12.0,8.0,9.0,False,False,9,,,,,,,,False,,1.0,3,3,1
2.0,4.0,"[2, 3, 2]",12.0,9.0,10.0,False,False,9,,,,,,,,True,,0.0,2,2,4
2.0,3.0,"[3, 3, 1]",12.0,9.0,10.0,False,False,9,,,,,,,,True,,0.0,3,1,3
2.0,2.0,"[4, 3, 1]",15.0,9.0,10.0,False,False,10,,,,,,,,True,,1.0,4,1,2
2.0,10.0,"[2, 5, 1]",15.0,10.0,11.0,False,False,10,,,,,,,,True,,0.0,2,1,10
2.0,4.0,"[3, 5, 1]",20.0,14.0,15.0,False,False,15,,,,,,,,True,,1.0,3,1,4
2.0,2.0,"[5, 4, 1]",24.0,14.0,15.0,False,False,15,,,,,,,,True,,1.0,5,1,2
2.0,3.0,"[2, 3, 4]",18.0,15.0,16.0,False,False,15,,,,,,,,True,,0.0,2,4,3
2.0,7.0,"[2, 5, 2]",20.0,15.0,16.0,False,False,15,,,,,,,,True,,0.0,2,2,7
2.0,1.0,"[4, 3, 4]",24.0,15.0,16.0,False,False,16,,,,,,,,False,,1.0,4,4,1
2.0,3.0,"[3, 5, 2]",25.0,19.0,20.0,False,False,20,,,,,,,,True,,1.0,3,2,3
2.0,6.0,"[2, 5, 3]",25.0,20.0,21.0,False,False,20,,,,,,,,True,,0.0,2,3,6
