h,exponent,architecture,num_parameters,dimension_computed,ambient_dimension,is_full_dimension,is_minimal,expected_dimension,defect_expected,defect_ambient,backend,primes,elapsed_seconds,status,covered_by_mfa,shrunk_hidden_layers,is_unimodal
2,6,"[1, 263, 2]",789,2,2,True,False,,,,,,,,,,True
2,6,"[1, 10, 2]",30,2,2,True,False,,,,,,,,,,True
2,6,"[1, 4, 2]",12,2,2,True,False,,,,,,,,,,True
2,6,"[1, 2, 2]",6,2,2,True,False,,,,,,,,,,True
3,6,"[1, 187, 64, 2]",12283,2,2,True,False,,,,,,,,,,True
3,6,"[1, 160, 50, 2]",8260,2,2,True,False,,,,,,,,,,True
3,6,"[1, 29, 160, 2]",4989,2,2,True,False,,,,,,,,,,True
3,6,"[1, 52, 9, 2]",538,2,2,True,False,,,,,,,,,,True
3,6,"[1, 42, 78, 2]",3474,2,2,True,False,,,,,,,,,,True
3,6,"[1, 24, 51, 2]",1350,2,2,True,False,,,,,,,,,,True
3,6,"[1, 15, 285, 2]",4860,2,2,True,False,,,,,,,,,,True
3,6,"[1, 212, 4, 2]",1068,2,2,True,False,,,,,,,,,,True
3,6,"[1, 18, 10, 2]",218,2,2,True,False,,,,,,,,,,True
3,6,"[1, 2, 62, 2]",250,2,2,True,False,,,,,,,,,,True
3,6,"[1, 17, 42, 2]",815,2,2,True,False,,,,,,,,,,True
3,6,"[1, 7, 51, 2]",466,2,2,True,False,,,,,,,,,,True
3,6,"[1, 2, 8, 2]",34,2,2,True,False,,,,,,,,,,True
3,6,"[1, 167, 5, 2]",1012,2,2,True,False,,,,,,,,,,True
3,6,"[1, 118, 4, 2]",598,2,2,True,False,,,,,,,,,,True
3,6,"[1, 240, 2, 2]",724,2,2,True,False,,,,,,,,,,True
3,6,"[1, 22, 5, 2]",142,2,2,True,False,,,,,,,,,,True
3,6,"[1, 72, 4, 2]",368,2,2,True,False,,,,,,,,,,True
3,6,"[1, 209, 2, 2]",631,2,2,True,False,,,,,,,,,,True
3,6,"[1, 90, 3, 2]",366,2,2,True,False,,,,,,,,,,True
3,6,"[1, 9, 3, 2]",42,2,2,True,False,,,,,,,,,,True
3,6,"[1, 31, 2, 2]",97,2,2,True,False,,,,,,,,,,True
3,6,"[1, 7, 7, 2]",70,2,2,True,False,,,,,,,,,,True
3,6,"[1, 8, 2, 2]",28,2,2,True,False,,,,,,,,,,True
3,6,"[1, 2, 6, 2]",26,2,2,True,False,,,,,,,,,,True
3,6,"[1, 3, 3, 2]",18,2,2,True,False,,,,,,,,,,True
3,6,"[1, 2, 4, 2]",18,2,2,True,False,,,,,,,,,,True
3,6,"[1, 4, 2, 2]",16,2,2,True,False,,,,,,,,,,True
3,6,"[1, 3, 2, 2]",13,2,2,True,False,,,,,,,,,,True
3,6,"[1, 2, 2, 2]",10,2,2,True,False,,,,,,,,,,True
2,6,"[1, 1, 2]",3,2,2,True,True,,,,,,,,,,True
3,6,"[1, 285, 1, 2]",572,2,2,True,False,,,,,,,,,,False
3,6,"[1, 1, 249, 2]",748,2,2,True,False,,,,,,,,,,True
3,6,"[1, 280, 1, 2]",562,2,2,True,False,,,,,,,,,,False
3,6,"[1, 63, 1, 2]",128,2,2,True,False,,,,,,,,,,False
3,6,"[1, 1, 184, 2]",553,2,2,True,False,,,,,,,,,,True
3,6,"[1, 55, 1, 2]",112,2,2,True,False,,,,,,,,,,False
3,6,"[1, 1, 46, 2]",139,2,2,True,False,,,,,,,,,,True
3,6,"[1, 1, 32, 2]",97,2,2,True,False,,,,,,,,,,True
3,6,"[1, 1, 4, 2]",13,2,2,True,False,,,,,,,,,,True
3,6,"[1, 15, 1, 2]",32,2,2,True,False,,,,,,,,,,False
3,6,"[1, 11, 1, 2]",24,2,2,True,False,,,,,,,,,,False
3,6,"[1, 5, 1, 2]",12,2,2,True,False,,,,,,,,,,False
3,6,"[1, 3, 1, 2]",8,2,2,True,False,,,,,,,,,,False
3,6,"[1, 1, 1, 2]",4,2,2,True,True,,,,,,,,,,True
4,6,"[1, 1, 1, 1, 2]",5,2,2,True,True,,,,,,,,,,
