h,exponent,architecture,num_parameters,dimension_computed,ambient_dimension,is_full_dimension,is_minimal,expected_dimension,defect_expected,defect_ambient,backend,primes,elapsed_seconds,status,covered_by_mfa
2.0,9.0,"[2, 40, 9]",440.0,90.0,90.0,True,False,,,,,,,,
2.0,9.0,"[2, 29, 9]",319.0,90.0,90.0,True,False,,,,,,,,
2.0,9.0,"[2, 26, 9]",286.0,90.0,90.0,True,False,,,,,,,,
2.0,9.0,"[2, 13, 9]",143.0,90.0,90.0,True,False,,,,,,,,
2.0,9.0,"[2, 9, 9]",99.0,90.0,90.0,True,True,,,,,,,,
3.0,9.0,"[2, 156, 233, 9]",38757.0,738.0,738.0,True,False,,,,,,,,
3.0,9.0,"[2, 22, 126, 9]",3950.0,738.0,738.0,True,False,,,,,,,,
3.0,9.0,"[2, 10, 84, 9]",1616.0,738.0,738.0,True,False,,,,,,,,
3.0,9.0,"[2, 6, 226, 9]",3402.0,738.0,738.0,True,False,,,,,,,,
3.0,9.0,"[2, 98, 21, 9]",2443.0,378.0,738.0,False,False,,,,,,,,
3.0,9.0,"[2, 262, 43, 9]",12177.0,738.0,738.0,True,False,,,,,,,,
3.0,9.0,"[2, 197, 38, 9]",8222.0,684.0,738.0,False,False,,,,,,,,
3.0,9.0,"[2, 263, 37, 9]",10590.0,666.0,738.0,False,False,,,,,,,,
3.0,9.0,"[2, 96, 61, 9]",6597.0,738.0,738.0,True,False,,,,,,,,
3.0,9.0,"[2, 298, 8, 9]",3052.0,144.0,738.0,False,False,,,,,,,,
3.0,9.0,"[2, 115, 58, 9]",7422.0,738.0,738.0,True,False,,,,,,,,
3.0,9.0,"[2, 288, 16, 9]",5328.0,288.0,738.0,False,False,,,,,,,,
3.0,9.0,"[2, 59, 82, 9]",5694.0,738.0,738.0,True,False,,,,,,,,
3.0,9.0,"[2, 105, 50, 9]",5910.0,738.0,738.0,True,False,,,,,,,,
3.0,9.0,"[2, 89, 60, 9]",6058.0,738.0,738.0,True,False,,,,,,,,
3.0,9.0,"[2, 39, 72, 9]",3534.0,738.0,738.0,True,False,,,,,,,,
3.0,9.0,"[2, 168, 40, 9]",7416.0,720.0,738.0,False,False,,,,,,,,
3.0,9.0,"[2, 277, 34, 9]",10278.0,612.0,738.0,False,False,,,,,,,,
3.0,9.0,"[2, 78, 54, 9]",4854.0,738.0,738.0,True,False,,,,,,,,
3.0,9.0,"[2, 60, 67, 9]",4743.0,738.0,738.0,True,False,,,,,,,,
3.0,9.0,"[2, 244, 49, 9]",12885.0,738.0,738.0,True,False,,,,,,,,
3.0,9.0,"[2, 199, 44, 9]",9550.0,738.0,738.0,True,False,,,,,,,,
3.0,9.0,"[2, 60, 59, 9]",4191.0,738.0,738.0,True,False,,,,,,,,
3.0,9.0,"[2, 73, 44, 9]",3754.0,738.0,738.0,True,False,,,,,,,,
3.0,9.0,"[2, 42, 58, 9]",3042.0,738.0,738.0,True,False,,,,,,,,
