h,exponent,architecture,num_parameters,dimension_computed,ambient_dimension,is_full_dimension,is_minimal
3,2,"[3, 5, 8, 1]",63,15,15,True,False
3,2,"[3, 2, 4, 1]",18,7,15,False,False
3,2,"[3, 5, 6, 1]",51,15,15,True,False
3,2,"[3, 4, 8, 1]",52,15,15,True,False
3,2,"[3, 4, 7, 1]",47,15,15,True,False
3,2,"[3, 2, 7, 1]",27,7,15,False,False
3,2,"[3, 10, 5, 1]",85,15,15,True,False
3,2,"[3, 2, 9, 1]",33,7,15,False,False
3,2,"[3, 6, 5, 1]",53,15,15,True,False
3,2,"[3, 1, 10, 1]",23,3,15,False,False
3,2,"[3, 5, 5, 1]",45,15,15,True,False
3,2,"[3, 3, 8, 1]",41,12,15,False,False
3,2,"[3, 6, 1, 1]",25,6,15,False,False
3,2,"[3, 7, 1, 1]",29,6,15,False,False
3,2,"[3, 10, 1, 1]",41,6,15,False,False
3,2,"[3, 9, 3, 1]",57,15,15,True,False
3,2,"[3, 5, 3, 1]",33,15,15,True,False
3,2,"[3, 2, 10, 1]",36,7,15,False,False
3,2,"[3, 4, 5, 1]",37,15,15,True,False
3,2,"[3, 4, 3, 1]",27,15,15,True,True
3,2,"[3, 9, 2, 1]",47,11,15,False,False
3,2,"[3, 3, 10, 1]",49,12,15,False,False
3,2,"[3, 10, 2, 1]",52,11,15,False,False
4,2,"[3, 8, 10, 3, 1]",137,42,45,False,False
4,2,"[3, 2, 7, 7, 1]",76,9,45,False,False
4,2,"[3, 5, 9, 9, 1]",150,45,45,True,False
4,2,"[3, 1, 6, 8, 1]",65,3,45,False,False
4,2,"[3, 4, 8, 10, 1]",134,42,45,False,False
4,2,"[3, 10, 9, 1, 1]",130,15,45,False,False
4,2,"[3, 8, 4, 8, 1]",96,30,45,False,False
4,2,"[3, 10, 1, 6, 1]",52,6,45,False,False
4,2,"[3, 6, 6, 10, 1]",124,45,45,True,False
4,2,"[3, 9, 2, 6, 1]",63,13,45,False,False
4,2,"[3, 6, 10, 7, 1]",155,45,45,True,False
4,2,"[3, 1, 10, 5, 1]",68,3,45,False,False
4,2,"[3, 6, 10, 4, 1]",122,45,45,True,False
4,2,"[3, 10, 7, 5, 1]",140,45,45,True,False
4,2,"[3, 7, 7, 6, 1]",118,45,45,True,False
