h,exponent,architecture,num_parameters,dimension_computed,ambient_dimension,is_full_dimension,is_minimal,expected_dimension,defect_expected,defect_ambient,backend,primes,elapsed_seconds,status,covered_by_mfa,shrunk_hidden_layers
2,2,"[4, 4, 2]",24,20,20,True,True,,,,,,,,,
3,2,"[4, 10, 12, 2]",184,70,70,True,False,,,,,,,,,
3,2,"[4, 34, 9, 2]",460,70,70,True,False,,,,,,,,,
3,2,"[4, 56, 6, 2]",572,66,70,False,False,,,,,,,,,
3,2,"[4, 15, 7, 2]",179,70,70,True,False,,,,,,,,,
3,2,"[4, 2, 20, 2]",88,12,70,False,False,,,,,,,,,
3,2,"[4, 5, 18, 2]",146,45,70,False,False,,,,,,,,,
3,2,"[4, 7, 9, 2]",109,70,70,True,False,,,,,,,,,
3,2,"[4, 60, 6, 2]",612,66,70,False,False,,,,,,,,,
3,2,"[4, 8, 8, 2]",112,70,70,True,False,,,,,,,,,
3,2,"[4, 63, 5, 2]",577,55,70,False,False,,,,,,,,,
3,2,"[4, 14, 7, 2]",168,70,70,True,False,,,,,,,,,
3,2,"[4, 6, 17, 2]",160,60,70,False,False,,,,,,,,,
3,2,"[4, 8, 7, 2]",102,70,70,True,False,,,,,,,,,
3,2,"[4, 6, 20, 2]",184,60,70,False,False,,,,,,,,,
3,2,"[4, 64, 5, 2]",586,55,70,False,False,,,,,,,,,
3,2,"[4, 62, 6, 2]",632,66,70,False,False,,,,,,,,,
3,2,"[4, 7, 8, 2]",100,70,70,True,False,,,,,,,,,
3,2,"[4, 7, 7, 2]",91,70,70,True,True,,,,,,,,,
3,2,"[4, 63, 6, 2]",642,66,70,False,False,,,,,,,,,
3,2,"[4, 64, 6, 2]",652,66,70,False,False,,,,,,,,,
4,2,"[4, 7, 53, 19, 2]",1444,330,330,True,False,,,,,,,,,
4,2,"[4, 53, 55, 1, 2]",3184,36,330,False,False,,,,,,,,,
4,2,"[4, 49, 50, 15, 2]",3426,330,330,True,False,,,,,,,,,
4,2,"[4, 10, 19, 17, 2]",587,330,330,True,False,,,,,,,,,
4,2,"[4, 32, 15, 20, 2]",948,330,330,True,False,,,,,,,,,
4,2,"[4, 36, 50, 8, 2]",2360,288,330,False,False,,,,,,,,,
4,2,"[4, 39, 50, 5, 2]",2366,180,330,False,False,,,,,,,,,
4,2,"[4, 22, 66, 7, 2]",2016,252,330,False,False,,,,,,,,,
4,2,"[4, 13, 68, 3, 2]",1146,108,330,False,False,,,,,,,,,
4,2,"[4, 49, 70, 9, 2]",4274,324,330,False,False,,,,,,,,,
4,2,"[4, 52, 58, 14, 2]",4064,330,330,True,False,,,,,,,,,
2,2,"[4, 3, 2]",18,15,20,False,False,15.0,0.0,5.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.0715273999999226,maximal_subarchitecture_of_recorded_mfa,"[[4, 4, 2]]",[1]
3,2,"[4, 6, 7, 2]",80,60,70,False,False,67.0,7.0,10.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.3305978999997023,maximal_subarchitecture_of_recorded_mfa,"[[4, 7, 7, 2]]",[1]
3,2,"[4, 7, 6, 2]",82,66,70,False,False,69.0,3.0,4.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.3629352999996627,maximal_subarchitecture_of_recorded_mfa,"[[4, 7, 7, 2]]",[2]
4,2,"[4, 15, 33, 10, 2]",905,330,330,True,False,,,,,,,,,
4,2,"[4, 5, 22, 10, 2]",370,155,330,False,False,,,,,,,,,
4,2,"[4, 32, 5, 10, 2]",358,75,330,False,False,,,,,,,,,
4,2,"[4, 15, 11, 10, 2]",355,219,330,False,False,,,,,,,,,
4,2,"[4, 6, 27, 10, 2]",476,238,330,False,False,,,,,,,,,
4,2,"[4, 12, 24, 10, 2]",596,330,330,True,False,,,,,,,,,
4,2,"[4, 31, 23, 10, 2]",1087,330,330,True,False,,,,,,,,,
4,2,"[4, 29, 21, 10, 2]",955,330,330,True,False,,,,,,,,,
4,2,"[4, 24, 22, 10, 2]",864,330,330,True,False,,,,,,,,,
4,2,"[4, 59, 2, 4, 2]",370,24,330,False,False,,,,,,,,,
4,2,"[4, 59, 6, 10, 2]",670,96,330,False,False,,,,,,,,,
4,2,"[4, 7, 41, 14, 2]",917,330,330,True,True,,,,,,,,,
4,2,"[4, 62, 43, 1, 2]",2959,36,330,False,False,,,,,,,,,
4,2,"[4, 53, 45, 5, 2]",2832,180,330,False,False,,,,,,,,,
4,2,"[4, 62, 54, 6, 2]",3932,216,330,False,False,,,,,,,,,
4,2,"[4, 30, 14, 19, 2]",844,330,330,True,True,,,,,,,,,
4,2,"[4, 63, 12, 6, 2]",1092,186,330,False,False,,,,,,,,,
4,2,"[4, 9, 35, 10, 2]",721,330,330,True,False,,,,,,,,,
4,2,"[4, 31, 12, 11, 2]",650,251,330,False,False,,,,,,,,,
4,2,"[4, 63, 16, 8, 2]",1404,280,330,False,False,,,,,,,,,
4,2,"[4, 42, 5, 16, 2]",490,75,330,False,False,,,,,,,,,
4,2,"[4, 62, 18, 10, 2]",1564,330,330,True,False,,,,,,,,,
4,2,"[4, 42, 9, 10, 2]",656,171,330,False,False,,,,,,,,,
4,2,"[4, 7, 28, 19, 2]",794,330,330,True,True,,,,,,,,,
4,2,"[4, 8, 35, 15, 2]",867,330,330,True,False,,,,,,,,,
4,2,"[4, 58, 33, 8, 2]",2426,288,330,False,False,,,,,,,,,
4,2,"[4, 51, 50, 8, 2]",3170,288,330,False,False,,,,,,,,,
4,2,"[4, 50, 66, 6, 2]",3908,216,330,False,False,,,,,,,,,
4,2,"[4, 41, 5, 18, 2]",495,75,330,False,False,,,,,,,,,
4,2,"[4, 52, 64, 6, 2]",3932,216,330,False,False,,,,,,,,,
4,2,"[4, 63, 26, 3, 2]",1974,108,330,False,False,,,,,,,,,
4,2,"[4, 9, 18, 10, 2]",398,330,330,True,False,,,,,,,,,
4,2,"[4, 60, 26, 8, 2]",2024,288,330,False,False,,,,,,,,,
4,2,"[4, 4, 21, 19, 2]",537,82,330,False,False,,,,,,,,,
4,2,"[4, 64, 5, 9, 2]",639,75,330,False,False,,,,,,,,,
4,2,"[4, 16, 15, 10, 2]",474,295,330,False,False,,,,,,,,,
4,2,"[4, 21, 16, 10, 2]",600,314,330,False,False,,,,,,,,,
4,2,"[4, 26, 16, 10, 2]",700,314,330,False,False,,,,,,,,,
4,2,"[4, 4, 29, 10, 2]",442,82,330,False,False,,,,,,,,,
4,2,"[4, 18, 17, 10, 2]",568,330,330,True,False,,,,,,,,,
4,2,"[4, 4, 30, 10, 2]",456,82,330,False,False,,,,,,,,,
4,2,"[4, 30, 15, 10, 2]",740,295,330,False,False,,,,,,,,,
4,2,"[4, 7, 18, 10, 2]",354,311,330,False,False,,,,,,,,,
4,2,"[4, 1, 31, 10, 2]",365,5,330,False,False,,,,,,,,,
4,2,"[4, 6, 28, 10, 2]",492,238,330,False,False,,,,,,,,,
4,2,"[4, 5, 33, 10, 2]",535,155,330,False,False,,,,,,,,,
4,2,"[4, 32, 13, 10, 2]",694,257,330,False,False,,,,,,,,,
4,2,"[4, 7, 29, 10, 2]",541,311,330,False,False,,,,,,,,,
4,2,"[4, 8, 17, 10, 2]",358,315,330,False,False,,,,,,,,,
4,2,"[4, 2, 35, 10, 2]",448,16,330,False,False,,,,,,,,,
4,2,"[4, 8, 31, 10, 2]",610,330,330,True,False,,,,,,,,,
4,2,"[4, 8, 25, 10, 2]",502,330,330,True,False,,,,,,,,,
4,2,"[4, 31, 15, 10, 2]",759,295,330,False,False,,,,,,,,,
4,2,"[4, 12, 17, 10, 2]",442,330,330,True,False,,,,,,,,,
4,2,"[4, 7, 33, 10, 2]",609,311,330,False,False,,,,,,,,,
4,2,"[4, 5, 34, 10, 2]",550,155,330,False,False,,,,,,,,,
4,2,"[4, 6, 35, 10, 2]",604,238,330,False,False,,,,,,,,,
4,2,"[4, 8, 20, 10, 2]",412,330,330,True,False,,,,,,,,,
4,2,"[4, 32, 15, 10, 2]",778,295,330,False,False,,,,,,,,,
4,2,"[4, 32, 16, 10, 2]",820,314,330,False,False,,,,,,,,,
4,2,"[4, 7, 34, 10, 2]",626,311,330,False,False,,,,,,,,,
4,2,"[4, 8, 19, 10, 2]",394,330,330,True,False,,,,,,,,,
4,2,"[4, 8, 18, 10, 2]",376,330,330,True,True,,,,,,,,,
4,2,"[4, 10, 17, 10, 2]",400,330,330,True,True,,,,,,,,,
4,2,"[4, 7, 35, 10, 2]",643,311,330,False,False,,,,,,,,,
4,2,"[4, 9, 17, 10, 2]",379,325,330,False,False,,,,,,,,,
5,2,"[4, 21, 110, 17, 7, 2]",4397,704,1938,False,False,,,,,,,,,
5,2,"[4, 11, 90, 34, 3, 2]",4202,498,1938,False,False,,,,,,,,,
5,2,"[4, 32, 42, 30, 8, 2]",2988,1268,1938,False,False,,,,,,,,,
5,2,"[4, 9, 116, 28, 10, 2]",4628,1242,1938,False,False,,,,,,,,,
5,2,"[4, 25, 65, 8, 4, 2]",2285,308,1938,False,False,,,,,,,,,
5,2,"[4, 25, 60, 28, 6, 2]",3460,996,1938,False,False,,,,,,,,,
5,2,"[4, 27, 117, 32, 9, 2]",7317,1385,1938,False,False,,,,,,,,,
