h,exponent,architecture,num_parameters,dimension_computed,ambient_dimension,is_full_dimension,is_minimal
2,4,"[7, 142, 1]",1136,210,210,True,False
2,4,"[7, 132, 1]",1056,210,210,True,False
2,4,"[7, 29, 1]",232,203,210,False,False
2,4,"[7, 123, 1]",984,210,210,True,False
2,4,"[7, 118, 1]",944,210,210,True,False
2,4,"[7, 106, 1]",848,210,210,True,False
2,4,"[7, 83, 1]",664,210,210,True,False
2,4,"[7, 75, 1]",600,210,210,True,False
2,4,"[7, 52, 1]",416,210,210,True,False
2,4,"[7, 35, 1]",280,210,210,True,False
2,4,"[7, 30, 1]",240,210,210,True,True
